---,1,2,3,4,5,6,7,8,9,10
DefaultMaxHealth,300,500,700,900,1200,1500,1700,1900,2000,2200
DefaultMaxMana,0,0,0,0,0,0,0,0,0,0
DefaultAttackPower,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
DefaultDefensePower,1,1,1,1,1,1,1,1,1,1
DefaultMoveSpeed,200,200,200,300,300,300,400,400,400,400
PlayerMaxHealth,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800
PlayerMaxMana,100,100,100,100,100,100,100,100,100,100
PlayerAttackPower,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
PlayerDefensePower,1,1,1,1,1,1,1,1,1,1
PlayerMoveSpeed,600,600,600,600,600,600,600,600,600,600
PlayerStrength,30,40,50,60,70,80,90,100,110,120
PlayerAgility,30,40,50,60,70,80,90,100,110,120
PlayerWisdom,30,40,50,60,70,80,90,100,110,120
